date,countries,tracker
2005-03-31,AM,8.151145679338338
2005-06-30,AM,14.815891777388686
2005-09-30,AM,14.60205464980765
2005-12-31,AM,17.531126069313785
2006-03-31,AM,10.877573471552036
2006-06-30,AM,19.214335086485047
2006-09-30,AM,12.23228098559213
2006-12-31,AM,10.78453493250547
2007-03-31,AM,11.259370876895208
2007-06-30,AM,10.645332987720757
2007-09-30,AM,15.215424235142525
2007-12-31,AM,14.712072435742295
2008-03-31,AM,12.853507115540907
2008-06-30,AM,9.27054325906919
2008-09-30,AM,15.550941908151978
2008-12-31,AM,-5.215873505430139
2009-03-31,AM,-1.2311534019716182
2009-06-30,AM,-7.255375428305605
2009-09-30,AM,-10.03168752121351
2009-12-31,AM,-4.193015551672739
2010-03-31,AM,5.423530676392205
2010-06-30,AM,7.328549718801909
2010-09-30,AM,-4.4865709026084915
2010-12-31,AM,4.73202085111322
2011-03-31,AM,2.761265622317835
2011-06-30,AM,4.01727453979933
2011-09-30,AM,8.784614943926929
2011-12-31,AM,4.283743472544076
2012-03-31,AM,5.155391032517085
2012-06-30,AM,8.436245573928522
2012-09-30,AM,7.839580939782001
2012-12-31,AM,7.363345226727111
2013-03-31,AM,5.937593477030651
2013-06-30,AM,2.370338846556874
2013-09-30,AM,3.0044905632741346
2013-12-31,AM,4.3286188062438455
2014-03-31,AM,4.425816912966618
2014-06-30,AM,1.5985691787646759
2014-09-30,AM,4.535528055876732
2014-12-31,AM,3.6606263829572905
2015-03-31,AM,2.5361349851940265
2015-06-30,AM,3.7173620127552853
2015-09-30,AM,2.5648485426129235
2015-12-31,AM,3.752692951076741
2016-03-31,AM,2.4579295742888885
2016-06-30,AM,1.4515822485711098
2016-09-30,AM,0.5261133053226014
2016-12-31,AM,1.4893863746749325
2017-03-31,AM,6.471337770548598
2017-06-30,AM,4.999946430154995
2017-09-30,AM,4.799443461169877
2017-12-31,AM,7.217477630524999
2018-03-31,AM,6.3996006654726125
2018-06-30,AM,4.822292333409125
2018-09-30,AM,3.677925165826732
2018-12-31,AM,4.173229220034399
2019-03-31,AM,6.560575730886495
2019-06-30,AM,6.226490307777722
2019-09-30,AM,7.6544137367077045
2019-12-31,AM,5.399111114724799
2020-03-31,AM,0.5572561497602291
2020-06-30,AM,-10.079786196276531
2020-09-30,AM,-7.895837393805863
2020-12-31,AM,-7.0603173910262225
2021-03-31,AM,0.8964765801698638
2021-06-30,AM,4.641565331969095
2021-09-30,AM,4.7886580712776
2021-12-31,AM,8.442839724513728
2005-03-31,AU,4.041134840685014
2005-06-30,AU,2.2562452648958162
2005-09-30,AU,3.7402369221273197
2005-12-31,AU,4.109099759192246
2006-03-31,AU,2.3881928930099545
2006-06-30,AU,3.5256624115859863
2006-09-30,AU,2.9274318004625477
2006-12-31,AU,3.443607836906748
2007-03-31,AU,3.637255278828646
2007-06-30,AU,4.796369796799839
2007-09-30,AU,4.905970518470967
2007-12-31,AU,4.345264045840463
2008-03-31,AU,3.842114702610376
2008-06-30,AU,3.265626879578865
2008-09-30,AU,1.437390276496026
2008-12-31,AU,1.5057464490805166
2009-03-31,AU,0.02440173582556886
2009-06-30,AU,0.7915994173018931
2009-09-30,AU,2.4275615818284573
2009-12-31,AU,2.8210279287474718
2010-03-31,AU,3.193516926834552
2010-06-30,AU,3.3488688584465804
2010-09-30,AU,2.4674973392497934
2010-12-31,AU,3.3128445758914244
2011-03-31,AU,2.65996513563938
2011-06-30,AU,1.933030083407465
2011-09-30,AU,2.8217812561282742
2011-12-31,AU,2.9176805883851276
2012-03-31,AU,4.167965455036599
2012-06-30,AU,3.010935829639066
2012-09-30,AU,3.2030997107817782
2012-12-31,AU,3.4824984100810505
2013-03-31,AU,2.608869988134697
2013-06-30,AU,2.0652374007151453
2013-09-30,AU,1.9004288852869915
2013-12-31,AU,2.3679407763388194
2014-03-31,AU,3.3790626542358266
2014-06-30,AU,2.362956092403293
2014-09-30,AU,3.2373108542008224
2014-12-31,AU,4.049912165787637
2015-03-31,AU,2.164595321890592
2015-06-30,AU,3.7351672102451525
2015-09-30,AU,2.4324448160875365
2015-12-31,AU,1.4315325776029257
2016-03-31,AU,2.1311064121807988
2016-06-30,AU,2.4929442604319174
2016-09-30,AU,1.8133327095987213
2016-12-31,AU,1.8933031311958828
2017-03-31,AU,1.671190664544854
2017-06-30,AU,1.9906729521033
2017-09-30,AU,2.8778393485583136
2017-12-31,AU,1.7717138387453661
2018-03-31,AU,2.9153409463470843
2018-06-30,AU,3.82594562268914
2018-09-30,AU,2.1572925850587117
2018-12-31,AU,1.8727233919401425
2019-03-31,AU,2.918536581301521
2019-06-30,AU,2.4989845817409106
2019-09-30,AU,2.676403688345211
2019-12-31,AU,2.758198585314672
2020-03-31,AU,-2.940278648684462
2020-06-30,AU,-7.67925256045733
2020-09-30,AU,-0.9888138959100321
2020-12-31,AU,-1.976079873955813
2021-03-31,AU,2.3795707318836934
2021-06-30,AU,8.285789339764532
2021-09-30,AU,1.1059579580851095
2021-12-31,AU,2.1821535673255164
2005-03-31,AZ,24.834765669349913
2005-06-30,AZ,16.69488065264887
2005-09-30,AZ,24.34621468856124
2005-12-31,AZ,27.792798559465346
2006-03-31,AZ,31.56986948897014
2006-06-30,AZ,33.7136963840914
2006-09-30,AZ,33.143840700291875
2006-12-31,AZ,28.780458856048348
2007-03-31,AZ,26.465729494750406
2007-06-30,AZ,19.863156903479318
2007-09-30,AZ,22.855073667508446
2007-12-31,AZ,22.989209327503456
2008-03-31,AZ,9.890265973522995
2008-06-30,AZ,11.08268126305742
2008-09-30,AZ,10.789714717861
2008-12-31,AZ,11.246175971247943
2009-03-31,AZ,3.8984140258973037
2009-06-30,AZ,6.168980676625351
2009-09-30,AZ,7.322784889565261
2009-12-31,AZ,15.5160226147102
2010-03-31,AZ,6.409091193753651
2010-06-30,AZ,4.361868000226077
2010-09-30,AZ,3.805748295447978
2010-12-31,AZ,7.633500989169811
2011-03-31,AZ,-1.176399222089234
2011-06-30,AZ,1.959953095207678
2011-09-30,AZ,1.0386468412985375
2011-12-31,AZ,-1.7195317169323192
2012-03-31,AZ,1.9331928006351855
2012-06-30,AZ,1.810514796696014
2012-09-30,AZ,2.9725800158251277
2012-12-31,AZ,4.786260737866476
2013-03-31,AZ,4.555721385941569
2013-06-30,AZ,6.4726180711645585
2013-09-30,AZ,5.4187252279384674
2013-12-31,AZ,5.503589563601655
2014-03-31,AZ,3.6319645695804055
2014-06-30,AZ,1.4057576172159134
2014-09-30,AZ,1.9229331100234455
2014-12-31,AZ,2.140843739387317
2015-03-31,AZ,4.683728478332976
2015-06-30,AZ,1.7873789795963084
2015-09-30,AZ,1.9571853534263242
2015-12-31,AZ,2.64788236025509
2016-03-31,AZ,-1.037288842831864
2016-06-30,AZ,-0.6614666900958127
2016-09-30,AZ,0.43807662211993315
2016-12-31,AZ,-1.6958320939808575
2017-03-31,AZ,2.8539911826617144
2017-06-30,AZ,3.3655964207056757
2017-09-30,AZ,2.956096104794785
2017-12-31,AZ,1.4869838691835997
2018-03-31,AZ,3.2010680015185846
2018-06-30,AZ,1.5125482545144493
2018-09-30,AZ,2.066561265641865
2018-12-31,AZ,2.615925639692329
2019-03-31,AZ,3.201326337038348
2019-06-30,AZ,3.3364273023171775
2019-09-30,AZ,3.2390749892113235
2019-12-31,AZ,3.121179658185846
2020-03-31,AZ,1.6166805417172099
2020-06-30,AZ,-5.6392054719048135
2020-09-30,AZ,-6.366697508180107
2020-12-31,AZ,-7.049545964692831
2021-03-31,AZ,-2.901410482971632
2021-06-30,AZ,7.138089823539107
2021-09-30,AZ,3.5569230332856234
2021-12-31,AZ,5.684095173270455
2005-03-31,BN,0.5378950492254606
2005-06-30,BN,-0.7849843944785047
2005-09-30,BN,4.090684756051187
2005-12-31,BN,2.554104521142828
2006-03-31,BN,2.0785315780348372
2006-06-30,BN,3.7243872179707447
2006-09-30,BN,7.427485189349815
2006-12-31,BN,4.978219715801011
2007-03-31,BN,-1.3886605901640738
2007-06-30,BN,-0.18493874451921832
2007-09-30,BN,-1.3145825610868944
2007-12-31,BN,2.6699072853717407
2008-03-31,BN,-4.767878014250367
2008-06-30,BN,-2.526629486665302
2008-09-30,BN,-1.6320514693681942
2008-12-31,BN,2.724772454402794
2009-03-31,BN,-1.1342358121949716
2009-06-30,BN,-3.625240147107976
2009-09-30,BN,-3.025195382087399
2009-12-31,BN,2.4739519355037123
2010-03-31,BN,3.5797278893811986
2010-06-30,BN,5.024124649443097
2010-09-30,BN,3.0029825913103805
2010-12-31,BN,1.3429957860074881
2011-03-31,BN,2.659541548293193
2011-06-30,BN,3.9528289970154886
2011-09-30,BN,3.5111132028828798
2011-12-31,BN,2.460316424892241
2012-03-31,BN,2.2133222871951435
2012-06-30,BN,1.6860428398676022
2012-09-30,BN,-2.4622028971990177
2012-12-31,BN,2.715655933956614
2013-03-31,BN,0.27339865691279036
2013-06-30,BN,3.1620047274420253
2013-09-30,BN,-2.987725876169096
2013-12-31,BN,-8.578905792568817
2014-03-31,BN,-2.2997276989018594
2014-06-30,BN,-2.257882663816947
