date,countries,Events & Listings,Business Services,Entertainment Industry,Performing Arts,Recruitment & Staffing,Internet & Telecom,Autos & Vehicles,Office Supplies,Programming,Vehicle Brands,Bankruptcy,Finance,Vehicle Licensing & Registration,Credit & Lending,Insurance,Health Insurance,Commercial Lending,Real Estate,Food & Drink,College Financing,Legal Services,Restaurants,Home Financing,Architecture,Doctors' Offices,Auto Financing,Advertising & Marketing,Hospitals & Treatment Centers,Agriculture & Forestry,Veterinarians,Emergency Services,Forestry,Mental Health,Aquaculture,Travel Agencies & Services,Home & Garden,Grocery & Food Retailers,Fire & Security Services,Tobacco Products,Government,Real Estate Agencies,Footwear,Education,Shopping,Medical Facilities & Services,Travel,Printing & Publishing,Social Services,Hotels & Accommodations,Fuel Economy & Gas Prices,Computers & Electronics,Chemicals Industry,Sports,Apparel,Pharmacy,Professional & Trade Associations,Consumer Electronics,Computer Hardware,Luxury Goods,Industrial Materials & Equipment,Unwanted Body & Facial Hair Remova,Agricultural Equipment,Boats & Watercraft,Alcoholic Beverages,Construction & Maintenance,Retail Trade,Building Materials & Supplies,Pharmaceuticals & Biotech,Freight & Trucking,Civil Engineering,Transportation & Logistics,Maritime Transport,Construction Consulting & Contract,Distribution & Logistics,Aviation,Home Improvement,Jobs,Import & Export,Entertainment Media,Developer Jobs,Rail Transport,Gifts & Special Event Items,Food Production,Mail & Package Delivery,Home Appliances,Home Furnishings,Birthday,Birthday card,Employment agency,Unemployment benefits,Unemployment benefits in Texas,Unemployment benefits in France,"A World Without Work: Technology, Automation, and How We Should Respond",Recruitment,Military recruitment,Recruitment advertising,Civil service entrance examination,Investment,investment,Return on investment,Investment fund,Job interview,economic crisis,Unemployment,Unemployment insurance in Japan,Natural rate of unemployment,Financial crisis,Financial crisis of 2007–2008,1997 Asian financial crisis,Government debt,National debt of the United States,Bureau of the Fiscal Service,Office Space,Job Search,Job,Temporary Solutions,United States housing bubble,Housing in Israel,Capital Returns: Investing Through the Capital Cycle: A Money Manager’s Reports 2002-15,The Poor Had No Lawyers: Who Owns Scotland and How They Got it,House price index,Case–Shiller index,Mortgage loan,Mortgage law,Mortgage calculator,Fixed-rate mortgage,Crisis 1,Crisis 2,Crisis hotline,Loan,loan,Loanword,Interest,Interest rate,Student loan,Student Loan Fund,Affordable Housing 2,Affordable Housing 1,Recession,Gingival recession,Coronavirus recession,Global recession,Stock market crash,Force,Strength training,Bankruptcy.1,Online banking,Personal bankruptcy,"Chapter 7, Title 11, United States Code",Bankruptcy proceedings,Export,commercial building,Baggage,Hand luggage,Bag tag,Luggage carrier,"Mergers, Acquisitions, and Other Restructuring Activities: An Integrated Approach to Process, Tools, Cases, and Solutions",Foreclosure,Deed in lieu of foreclosure,Abandoned pets,2010 United States foreclosure crisis,AM,AU,AZ,BN,CN,GE,HK,ID,IN,JP,KG,KR,KZ,LK,MN,MY,NZ,PH,SG,TH,TW,VN
01/03/2020,LK,0,-0.084718597,0,0,0,0,0.141325733,0.045592528,0,-0.658886248,0.200112739,0,0,0,0,0.125186488,0,0.068533512,0,0.207978709,0,0.111659515,0.176179858,-0.506805782,0,0.105496098,-0.091066015,-0.20361466,0.604277517,0.668912805,0,-0.067922639,0.036524463,0,0.205829638,0,-0.161018641,0,0.113115609,0.438884903,-0.274748979,0,0.279407359,0,0.067472271,0.273418464,-0.196345347,0,0.129474244,0.23287066,0.106706972,0.036485724,0.56633983,0,0.055742587,0,0,0.287505007,0,0.086239974,0.086213298,-0.170413704,0.146335893,0,0.107723585,-0.245995909,0.030562594,0,0.089802843,0.270438748,0,-0.170128457,0,0.051072916,-0.162269525,0,-0.492428752,0,0,0,0,0.210933113,-0.081139535,0.332650046,0.17405851,0.094003733,0,0,0,0.092497872,0,0,0,0,0,0.041648178,0.254506365,-0.075954499,0,0,0,0.191162714,0,0,0,0,0,0,0,0,0,0,0,0,0.168856918,0,0,0,0,0,0,0.006815212,0.047091132,0,0,0,0,0,0.001036817,0,0,0,0,-0.045711063,0,0,0.016466469,0,0,0,0,0.022282555,0,0,0,0,0.062107356,0,0,0,0,0,0.259765685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975568117,0,0,0,0,0,0,0,0
01/03/2020,VN,0,0,0,0.231210035,0,0,-0.24402154,0,-0.180045794,-1.271357648,-0.107322088,0,0,0,-0.051571869,-0.105703944,0,0,0,-0.178534267,0,0,0.215504007,0.154310409,0,0,-0.166157977,0.053262563,0.296253887,-0.139185367,0.039409482,0,0.029440638,0,0.193869539,-0.046053125,-0.211697341,0.1710325,0,-0.415951506,-0.095118743,0.107834625,0.146995686,0,0,-0.161812259,0.194785416,0,-0.199788297,-0.124550424,-0.246838014,0.105147239,0.34178044,0.224025708,0,-0.042769849,0,-0.2131849,0,0,0.085264551,0.175412967,0,0,0,-0.048738893,0,0,0.224470788,0.099647142,0,0,0,0.058126693,-0.081473929,0,0.39237499,0,0,0,0,0.166929868,0,0.117494522,0.179107764,-0.058857558,0,-0.018689386,-0.093559213,0,0,0,0,0.033289867,0,0.04742804,0.324152149,-0.103585046,0,0,-0.043574761,0.168590327,0,0,0,0,0,0,0,0,-0.082714516,0,0,0,0.156109659,0,0,0,0,0,0,0,0.032505689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032150622,0,0,0,0,-0.059798521,0,-0.053610597,0,0,0,0,0.302149601,0.212622777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.304928457
01/03/2020,SG,0,0,0,0,0,0,-0.392407423,0,0.164469511,-2.001405929,0.224115646,0,0,0,0,0,0,0,0,0.218555532,0,0.028899194,0,0,0.064930407,0,0,0,0,0,0,0,0,0,0,0,0.137846625,0,0,0,-0.219737047,0.052252772,-0.314169716,0,0,0.073560653,0,0,0,0,0.28196192,0,0,0,0,0,0,0.30872791,0,0.080161987,0,0,0,0,0,0,0,0,-0.303820777,0,0,-0.319657092,0.095734709,0,0.650597462,0,0,0,0,0,0,0.111181181,0,0,0,0,0,0.630252948,0,0,0,0,0,0.133894357,0,0,0.896806493,0,0,1.066370245,0,-0.556482996,0,0,0,0,0,0.102530403,1.864639799,0,0.925832756,0,0,0,0,0,0,0,0,0,0,0,0.069390484,-0.290116632,0.347293822,0.123006399,0,0,0,1.005283423,0,-0.310160747,0,0,0.254965858,0,0.136301032,0,0,0,0,0,0,0,0,0.088555461,0,0,0.669619855,0,0,0,0.292676679,0.157602094,0.750016752,0.399296568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.964883198,0,0,0
01/03/2020,TW,0,0,0,0.064968743,0,0,0,0,0,-0.502453188,0,0,0,0,0,0.1674702,-0.255787482,0,0,0.131008053,0.152490713,0,0,0.217388241,0,0,0,0,0.14077452,-0.230064867,0,0,0,0,0,0,0,0,0,0,0,0,0.132059854,0,0,-0.2634515,0,0,0,0,0,0,-0.333962143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255716766,0.619309379,0,0,0,0.078181125,0,0,0,0.04657684,0,0,0,0,0,0,0.697990234,0,0,0,0,0,0.473400559,0,0.081943218,0.569790716,0,0,0.099970659,0,0.320414938,0,0.197867438,0,0,-0.368856134,0,0.151483813,-0.431899334,0,0,0,0,0.092679274,0,0,0,0,0,-0.347634732,0,0.384010097,0,0.844930764,1.074468761,0,0,0,0.119157294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651365955,0,0,0,0,0,1.086002705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031544939,0
01/03/2020,TH,-0.103612308,-0.099835071,0,0.104523437,0,0,0,0,-0.184132978,-1.015401571,0,0,0,0,0,0.200144216,0,0.10153261,0,0,0,0,0,0.06581334,0,0,0,-0.159573352,0.37005653,0,0,0,0,0,0.158907895,0,-0.058814002,0,0,-0.263537852,-0.084349414,0,0.0902359,0,0,0.140284949,0.143053118,0,0.130245267,0,-0.241393408,0,-0.10891466,0,0,0,0,-0.081253885,0,0,0.075768867,-0.179903237,0,0,-0.091111254,0.130897912,0.032887432,0,-0.07333795,0,0,0,0.101233106,0.089894576,0.128348736,0,0.290681501,0,0,0,0,-0.055836932,-0.039321302,0.117746867,0,0,0,0,-0.084261746,0.169523083,0,0,0,0.119406892,0,0,0.331210038,0.192496807,0,0.226535444,0.056079952,-0.193620161,-0.178283556,-0.161722204,0,0,-1.914925685,0.432187426,0,0.383555248,0,0,0,0,-0.221575208,0,0,0,0,0,0.289310685,0,0.127221635,0.339830094,0,0.377665416,-0.089215621,0,0,0.66211674,0,-0.152836001,0.038656167,-0.065200453,0,0,-0.099863822,0,0,-0.051077037,0,0,0,-0.032134505,0,-0.064334067,-0.063237401,0,0.288598784,0,-0.059455559,0,0.301400965,0.17861401,0.050158539,0.40119991,0,0,1.241944179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.032236117,0,0
05/01/2020,GE,0,0.118007575,0,0.230029296,0,0.079691815,0,0,0.060415118,0.437913982,0,0,0.226805423,0,0,0,-0.933837137,0,0,0,0,0,0,0,0.774442484,0.131976895,0,0,1.732452618,1.484838561,0,0,0,0,0.943934433,0.036682517,0,2.065067624,0.368662816,0.653799573,0,0,-1.242739335,0,0,0.615435039,0,0,0.443519142,0.160356653,0,0,0.314695995,0,0,0,0,0.027318164,0,0.277352287,0,0,0,0,0,0,0,0.080055338,0.383791625,0.376399298,0,-1.988833598,0.182476032,0.60518512,0.117541648,0,0,0,0.3900457,0,0,0.154689898,0.4716376,0,0,0,0,0,1.309362136,0,0,0,0,2.171992944,0,0.190511516,-1.353629938,1.093525858,0,0,0,4.137048425,0,4.634142256,0,0,0,0,0,0,0,0,0,0,0.36517268,0,0,0,0,0,0,0,2.887235315,0,0.088914074,0,0,0,0,0.207840199,0,0.330890377,0,0,0.966814765,0,1.573194673,0,0,0,0,0,0,0,0,1.336003404,0,0,0,0,0.261326808,0,0.474867035,1.671437268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,AU,-0.123232274,0,0,0.06172535,0,0,0,0,-0.071221308,0,0,0,0,0,-0.087205683,0,-0.095570726,0,0,0,0,0,0,0.077364523,0,0,0,0,0.109941824,0.054035703,0,0,0,0,0.187521764,0,-0.106446509,0,0,-0.107274829,0,0,0.076866491,0,0,0.275316744,0.045240957,0,0.208570443,0,0,0,0.054142686,0,0,0,0,0.054973901,0,0,0,0,0,0,0,0,0,0.063392128,-0.184488771,-0.085663451,0,0.068568652,0,0,0.055713237,0,0,0,0,0,0,0,0,-0.131690844,0,0,0,0,-0.086108755,0.130526961,0,0,0,0,0.551204242,0.109647235,0.047612298,-0.082958558,0,-0.109856077,-0.088864869,0.303735446,0,0,0,0,-0.229286108,0,0,0,0.386268705,0,0,0,0.1072786,0,0,0,0,0,-0.061039278,0,0.045589748,0,0,0.062094291,0,0,-0.055759987,0,0,0,0,0,0,0,0.159312251,0,-0.132730163,0.068891642,0,0.438173905,0,0,0,0,-0.146003787,0,1.542249353,0,0,0,0.128851151,0,0.260080999,0,0,0,0,0,0,0,-0.557379906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,IN,-0.231718352,0,0,-0.223690655,0,0,0.210910494,0,-0.237640808,0.704003814,-0.476717495,0,0,0,-0.500280829,0,0,0,0,0.284318235,0,-0.190111591,0,0.185507704,-0.33353276,0.09262475,-0.229132453,0,0.240811294,0.197706986,0,1.015062921,0,0,0.13632501,0,0,0.16696773,-0.128643189,0,-0.082643076,0,-0.189309157,0,0,0.589012627,0,0,0.627254897,0,0,0,0.242089791,0.2944377,0,0.122978716,0,0,0,0.109705121,0,0,0,0,0,0.205854738,0,0,0.69583531,-0.84223623,0,0.178886847,0,0,0.504801096,0,0.197948444,0,0,0,0,0.441046085,0,0,0,0.260327461,0,0,0,0.551039064,0,0,0,-0.250916723,0,1.434952005,-1.567225069,-1.449604592,0,0,0,0,0.020641047,-0.796217264,0,0,-1.313557954,0,0,1.636801885,0,0,0,0,0.173850855,0,0,0,0,0,0,0,0.174609472,0.226243552,1.200880923,0,0.572599003,0,0,-0.204317438,0,0,0.213489456,-0.32913622,0,0,0,0,0,0,0,0,0,0,0,0.725749895,0.089024041,0,0,0,0,0,0.889317908,-0.542621526,0,0,0,0.087136598,0,0,0,0,0,0,0,0,0,0,0,1.819389549,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,ID,0,0,0,-0.861556473,0,0,0,0.076918383,0.269948896,0.116472639,1.619387373,0,0.320077355,0,0.984618734,-0.340453048,0,0.419539054,0,2.703221531,-0.301949174,-0.778898661,-0.084545884,0.176533287,-0.604624462,-0.449842879,0,0,-0.477464867,-0.795241329,0,0,-0.451462208,0,-0.783638289,0.102500748,-0.514918472,0,0,0.354752827,-0.434635218,0,1.336569201,0,0,0.45341028,-0.301668747,0,-0.301821173,-0.130934416,0.193780814,0,0.0981143,-0.176608889,0,0,0,0.25134158,0.65303245,0.112247439,0.268905382,-0.037419048,-0.148168039,-0.098810872,0,0.287571331,-0.146788173,0.215998388,1.300449176,1.614992413,0,-2.283881034,0,-1.022941245,0.586942565,-0.060833594,0.089290243,0,-0.222630412,0,0,-0.200027712,0.122884994,-0.116395686,0.20197563,0,0,0,0,0,0,0,0,0,0,0.189267907,0.15840547,-0.132369296,0,0,1.999673718,-0.617000304,0,-2.200829484,0,-0.097317407,0,0,0,0.480174701,0,0,0,0,0,0,0,0,0,0,0,0,-0.689328263,0,0,0,0,0,0,-0.84305997,0,0,0,0.122072052,0,0,0,0,0,0,0,0,0,-0.354436658,0,0,0,0,0,0,0,0,2.302165209,0.314545907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.628268392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,NZ,0,0.206241726,0,0,0,0,0,0,0.411972854,-0.877655896,0,0,0,0,0,0,0,0,0.157386455,0,0,0.22508034,0,0,0.687740703,0,0,0,0.883780576,0.406435123,0,0,0,0,0,0.108897617,0,0,0,0.745021952,0,0,2.395136542,0,0.094392886,0,0,0.12998821,0,0,1.120575234,0,0,0,0.077790166,0,0,0.428196026,0,0.080114506,0,0,0,0,0.138199102,0.192276837,0,0,0,0,0,0.659317209,-1.243819049,-0.018992522,0,0,0.135290047,0,0,0,0,0.350397643,0,0.095624236,0.070124347,0.229451947,0,0,0.317975759,0,0,0,0,0,0,0.176104331,-0.62657207,0,0,0.385178566,0,0,1.541140681,0,0,0,0,0.901858775,0,1.336190515,1.493584195,0,0,0,0.111664632,0,0,0,0,0,0,0,0.219534417,0,1.073800125,0,0.349162277,0,0,0.377948604,0,0,0.069740109,0,0,0,0,0,0.249441348,0,0,0,0,0,0.950730133,0,0.3268509,0,0,0,0,0,0.085474765,0.990231649,0,-0.034752606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.885412052,0,0,0,0,0
