date,countries,tracker
19/11/2017,HK,15.30460619
19/11/2017,KG,7.973920135
19/11/2017,MN,9.465577405
19/11/2017,ID,25.4150532
19/11/2017,TH,7.086901484
19/11/2017,AM,-0.207822001
19/11/2017,SG,9.819741753
19/11/2017,AZ,3.876574774
19/11/2017,KR,5.414008896
19/11/2017,IN,8.728654761
19/11/2017,KZ,13.45691339
19/11/2017,BN,4.545989528
19/11/2017,GE,2.309552828
19/11/2017,VN,17.79088178
19/11/2017,NZ,3.183250201
19/11/2017,MY,5.515544137
19/11/2017,CN,12.24714136
26/11/2017,KR,16.7380433
26/11/2017,TH,3.503592655
26/11/2017,AM,-2.843940295
26/11/2017,PH,6.167462349
26/11/2017,IN,13.68445108
26/11/2017,SG,21.48740119
26/11/2017,KZ,8.910764808
26/11/2017,CN,10.34166112
26/11/2017,GE,9.910358133
26/11/2017,TW,9.880144734
26/11/2017,MY,24.86815259
26/11/2017,AZ,3.350902547
26/11/2017,VN,9.116871492
26/11/2017,LK,4.976577773
26/11/2017,JP,1.948783422
26/11/2017,ID,10.51641057
26/11/2017,HK,10.83012747
26/11/2017,KG,10.21110956
26/11/2017,MN,0.89317526
26/11/2017,BN,3.654149213
26/11/2017,AU,2.110137946
26/11/2017,NZ,3.437570138
02/12/2017,TH,6.224571207
02/12/2017,VN,3.738862535
02/12/2017,SG,9.382688542
02/12/2017,LK,5.474650857
02/12/2017,TW,6.362155892
03/12/2017,KZ,6.80372258
03/12/2017,HK,3.825435612
03/12/2017,MY,14.78936086
03/12/2017,IN,37.78599794
03/12/2017,ID,4.675248088
03/12/2017,TH,-7.480677523
03/12/2017,KR,8.60265475
03/12/2017,AU,5.969721402
03/12/2017,KG,13.27851527
03/12/2017,MN,4.942751838
03/12/2017,GE,13.46893205
03/12/2017,BN,1.471035281
03/12/2017,AM,10.82364983
03/12/2017,TW,3.681503385
03/12/2017,PH,13.22430464
03/12/2017,LK,8.482799009
03/12/2017,VN,8.036943601
03/12/2017,NZ,6.697846678
03/12/2017,JP,-0.405780037
03/12/2017,CN,10.57033201
03/12/2017,AZ,16.08637785
03/12/2017,SG,7.449682632
10/12/2017,CN,18.25374553
10/12/2017,AZ,0.618881485
10/12/2017,MN,3.235329276
10/12/2017,IN,20.67550311
10/12/2017,PH,12.58599024
10/12/2017,BN,1.285869338
10/12/2017,KZ,7.940318186
10/12/2017,GE,5.595292262
10/12/2017,HK,13.79794649
10/12/2017,KR,2.808673142
10/12/2017,NZ,8.44818308
10/12/2017,MY,11.40464043
10/12/2017,JP,4.206738586
10/12/2017,AM,10.51323339
10/12/2017,ID,8.915347804
10/12/2017,KG,14.82809347
10/12/2017,AU,3.40540383
11/12/2017,SG,5.232491136
11/12/2017,TW,2.781833454
11/12/2017,LK,5.06296778
11/12/2017,VN,7.662694048
11/12/2017,TH,8.75420503
17/12/2017,HK,6.004624749
17/12/2017,CN,10.05004007
17/12/2017,AU,9.50107623
17/12/2017,NZ,8.985172647
17/12/2017,LK,11.48557014
17/12/2017,JP,14.15664076
17/12/2017,KG,14.51744499
17/12/2017,GE,7.07555679
17/12/2017,TH,5.758646983
