date,countries,Events & Listings,Business Services,Entertainment Industry,Performing Arts,Recruitment & Staffing,Internet & Telecom,Autos & Vehicles,Office Supplies,Programming,Vehicle Brands,Bankruptcy,Finance,Vehicle Licensing & Registration,Credit & Lending,Insurance,Health Insurance,Commercial Lending,Real Estate,Food & Drink,College Financing,Legal Services,Restaurants,Home Financing,Architecture,Doctors' Offices,Auto Financing,Advertising & Marketing,Hospitals & Treatment Centers,Agriculture & Forestry,Veterinarians,Emergency Services,Forestry,Mental Health,Aquaculture,Travel Agencies & Services,Home & Garden,Grocery & Food Retailers,Fire & Security Services,Tobacco Products,Government,Real Estate Agencies,Footwear,Education,Shopping,Medical Facilities & Services,Travel,Printing & Publishing,Social Services,Hotels & Accommodations,Fuel Economy & Gas Prices,Computers & Electronics,Chemicals Industry,Sports,Apparel,Pharmacy,Professional & Trade Associations,Consumer Electronics,Computer Hardware,Luxury Goods,Industrial Materials & Equipment,Unwanted Body & Facial Hair Remova,Agricultural Equipment,Boats & Watercraft,Alcoholic Beverages,Construction & Maintenance,Retail Trade,Building Materials & Supplies,Pharmaceuticals & Biotech,Freight & Trucking,Civil Engineering,Transportation & Logistics,Maritime Transport,Construction Consulting & Contract,Distribution & Logistics,Aviation,Home Improvement,Jobs,Import & Export,Entertainment Media,Developer Jobs,Rail Transport,Gifts & Special Event Items,Food Production,Mail & Package Delivery,Home Appliances,Home Furnishings,Birthday,Birthday card,Employment agency,Unemployment benefits,Unemployment benefits in Texas,Unemployment benefits in France,"A World Without Work: Technology, Automation, and How We Should Respond",Recruitment,Military recruitment,Recruitment advertising,Civil service entrance examination,Investment,investment,Return on investment,Investment fund,Job interview,economic crisis,Unemployment,Unemployment insurance in Japan,Natural rate of unemployment,Financial crisis,Financial crisis of 2007–2008,1997 Asian financial crisis,Government debt,National debt of the United States,Bureau of the Fiscal Service,Office Space,Job Search,Job,Temporary Solutions,United States housing bubble,Housing in Israel,Capital Returns: Investing Through the Capital Cycle: A Money Manager’s Reports 2002-15,The Poor Had No Lawyers: Who Owns Scotland and How They Got it,House price index,Case–Shiller index,Mortgage loan,Mortgage law,Mortgage calculator,Fixed-rate mortgage,Crisis 1,Crisis 2,Crisis hotline,Loan,loan,Loanword,Interest,Interest rate,Student loan,Student Loan Fund,Affordable Housing 2,Affordable Housing 1,Recession,Gingival recession,Coronavirus recession,Global recession,Stock market crash,Force,Strength training,Bankruptcy.1,Online banking,Personal bankruptcy,"Chapter 7, Title 11, United States Code",Bankruptcy proceedings,Export,commercial building,Baggage,Hand luggage,Bag tag,Luggage carrier,"Mergers, Acquisitions, and Other Restructuring Activities: An Integrated Approach to Process, Tools, Cases, and Solutions",Foreclosure,Deed in lieu of foreclosure,Abandoned pets,2010 United States foreclosure crisis
2004-03-31,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,AM,0.3662040962227033,2.013418237092471,1.3647815207407001,-0.1257647437138225,0.0,0.7094105686164229,1.0593512767826485,0.0,-0.2885517053018587,1.0593512767826483,0.0,0.22165876786441663,0.0,1.8371368606695815,1.0986122886681098,0.0,0.0,0.06077385226465104,0.3783266442796618,2.7800724403156782,0.0,0.6931471805599453,0.0,0.0,1.3810449087971775,0.0,0.9444044480187387,0.0,0.4190724396149166,0.0,-1.3862943611198906,0.0,-1.4301531470494637,0.0,-2.6675647207613125,0.8951924484167173,0.0,-1.5350567286626973,0.0,1.6566044331920002,-1.4648163848908131,0.0,-0.9850919031106575,0.25867828012190386,1.4255553730053518,0.26754380446721093,1.369577766558067,0.08712158804480263,0.0,0.0,0.17150482126526434,2.362245978170192,0.0,0.8796857765384194,-1.7309856169634035,0.0,1.966449752733392,0.44393539194527376,0.0,0.0,0.0,1.2211872153765488,0.0,2.4508137000811945,-0.671634340180755,0.0,-0.5821532366661308,0.0,1.0860321793404941,0.0,0.4269779484873548,0.0,0.0,0.0,0.0,1.2135591174320197,2.6818627602678426,1.110734836725068,-1.3757114616816972,0.0,0.0,0.6983152427386004,-1.5350567286626973,1.1337324605540517,1.7823691769058227,1.0593512767826485,1.4962121232440466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5350567286626973,0.0,1.5350567286626973,1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309838923587883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4301531470494637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.328238773372755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-30,AM,0.11215741220707098,-0.47570545188004854,-0.9026834003674034,-2.0741920893571226,0.0,0.04451046420817395,0.4013242681086452,0.0,0.4267206475611607,0.33108392433676126,0.0,0.17966550024422911,0.0,0.6202507802383356,-1.2036393042147415,0.0,0.0,0.4620981203732967,-0.3928849987805487,1.3965515806754751,0.0,0.32694308433724206,0.0,1.3040076684760487,-0.19327283175098064,0.0,-0.13515503603605483,0.0,0.5972531564093517,0.0,0.0,0.0,-0.19823570258223078,0.0,1.3234306378507072,-0.08977764459452797,0.0,0.0,0.0,-0.0649908914491708,0.0,0.0,-0.6923128038205721,0.5931123164098324,-0.332111146515897,0.016423683002260603,-2.4739252645482157,1.564848829733888,-0.30984531954139216,0.0,-0.010162344394842204,1.0451647386430498,0.3662040962227032,0.5878628640871195,-0.7675283643313486,0.0,0.4713346475158833,0.09908384115597757,1.4346883644013901,-0.13515503603605486,0.0,0.0,0.0,-0.9814796597221468,-0.30543024395805163,0.0,-0.08942132886489307,1.1945063128187032,1.1337324605540517,0.0,0.14822860708714858,0.0,-1.5350567286626973,0.0,0.0,-0.9849700930112453,2.4512712613518515,-1.5350567286626973,0.0,0.0,0.0,-2.152216296639256,-1.5214493971559453,-1.4145739877655672,-0.9814796597221468,-0.3395231936648576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677633831378642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5350567286626973,0.0,0.0,-1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0494002890660883,0.0,0.0,-1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-30,AM,0.9634572526320548,-1.7371019965194692,-1.8038820172850132,0.6486367163517711,0.0,0.006624024717333921,-0.6323733282952936,-1.5214493971559453,-0.3257444227247581,0.15666787641524538,0.0,-0.7324081924454067,0.0,1.6302953469954433,-1.1552453009332422,0.0,0.0,-0.3525967647159516,-0.3662040962227032,2.675390064982142,-1.5283224928901908,0.0,0.0,-1.3965515806754751,1.3357777284108237,0.0,0.0,0.0,0.5972531564093517,-0.17587758069412396,0.0,0.0,-1.4410620448836495,0.0,1.3296613488547582,-0.6271238759725806,0.0,-2.9493115844428215,-2.7809466014238198,0.49110191270317305,1.2211872153765488,-0.10338497610127984,-0.2899235720797537,-0.3662040962227029,-0.08144858632160412,0.7094105686164223,0.6426305478508787,-1.34768375594485,-0.7701844208810742,0.0,-0.4492437754618597,0.0,0.13515503603605494,0.26616923207259036,-0.9026834003674035,0.0,0.0513835599424195,0.7539210328245967,0.0,0.46209812037329684,0.0,0.0,0.0,-1.8038820172850132,-0.20266312407321285,0.0,-0.10338497610127984,0.0,0.0,0.0,1.3965515806754751,0.0,0.0,0.0,-0.15317744312614678,-0.025763891433882247,0.9774984102358024,0.0,-1.3296613488547582,1.5350567286626973,-0.9985774245179969,-1.0915448861179093,0.0,1.0729586082894003,0.8549831191538456,-0.8908350878942664,-1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5350567286626973,2.714408916789148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894631229934137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5350567286626973,0.0,0.0,0.0,1.1337324605540517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,AM,-0.8026485362172905,-0.1969561104798423,0.531311241966045,-1.598596848532247,0.0,0.03177005993477522,-0.19592888830070632,-0.14822860708714858,-0.17699436039699012,-0.2703100720721099,0.0,-0.768479387325484,-1.5350567286626973,-1.5629703047031998,-1.1655025204888267,1.0986122886681098,0.0,1.2688874965901065,-0.580989768352874,2.8153039964704245,-0.17587758069412396,-0.2020452678567719,0.0,1.2036393042147415,1.2762137988296984,0.0,0.7992984242661235,0.0,0.4689712161075421,0.0,0.0,0.0,0.0,0.0,0.0,0.3378181601092676,-1.0729586082894003,0.0,0.0,0.26765401552238366,0.0,0.7324081924454066,-1.1828139092975825,-0.32842786778703603,0.4831577542471406,-0.5174264995313844,0.0,-1.353481003515473,0.13945617098135776,0.0,-0.1389909049865481,1.9629593194442936,0.13515503603605494,0.2824326201290679,-0.0897776445945282,0.0,0.9637974928711832,0.061640779498004505,0.0,-0.5013591322587582,0.0,0.0,0.0,-2.1563255605166156,-1.6289752132567443,0.0,0.8539558969747092,1.1337324605540517,1.0148408125744743,-1.5350567286626973,0.6202507802383354,0.0,0.0,0.0,1.1754535082053872,-0.7477205575077481,1.389950704910082,1.2353463581322541,0.0,0.0,0.0,0.2020452678567719,0.0,0.9985774245179969,-0.9634572526320548,0.07438118377140324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1655025204888267,0.0,0.0,1.4065025683920356,0.0,0.0,-1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8323301613662397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,AM,0.09589402415059356,-0.4783615084297739,-0.918190072245701,-0.8890760688606516,0.0,0.0,-0.2310490601866484,0.0,-0.08987235501804713,-0.4269779484873546,0.0,-4.440892098500626e-16,1.3234306378507072,-2.1640799450068235,-1.0986122886681098,0.0,0.0,-0.7324081924454062,-0.17027520792199713,-1.5764331361009367,0.0,-0.09589402415059367,0.0,2.26598013765831,-1.3810449087971775,0.0,0.7865811689446648,1.1224319433288248,-0.27874934140020646,0.0,1.0729586082894003,0.0,1.0148408125744743,0.0,2.156933167927534,0.0,0.8549831191538456,0.0,1.0451647386430498,-0.17966550024422911,1.110734836725068,0.9241962407465937,0.8027888575552216,0.2095362198074584,0.32694308433724206,0.012122548056958449,-1.721595324641172,1.8184403717859006,1.290400336969297,0.0,-0.1848103570670787,-0.47343708213271474,0.0,-0.208051436357664,0.0,0.0,-0.32889812415470754,-0.5555321087580163,0.0,0.46209812037329684,0.9814796597221468,-1.2211872153765488,1.4255553730053518,-0.5029655610707411,0.9580117795254901,0.0,-0.26798718230007834,1.0860321793404941,-1.0860321793404941,0.0,-0.5725504990247781,0.0,0.0,0.0,0.0,-0.07982665687796775,0.32929852460325293,-0.1121574122070711,0.0,0.0,0.0,-0.04573370717116143,0.0,0.7539210328245967,1.1322476771042582,1.0986122886681098,-0.09966054256857149,0.0,0.0,0.0,0.0,0.0,0.0,1.5350567286626973,0.0,0.0,0.0,0.0,0.0,-1.5350567286626973,-1.5350567286626973,0.0,0.0,1.4522362755631972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20052666234481809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5350567286626973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4301531470494637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4808837521634388,0.0,0.0,0.0,-1.3133979607982806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,AM,-0.18653859597847428,0.48447788798584,2.049489431972549,0.916290731874155,0.0,-0.09064457182788033,0.13515503603605472,0.0,-0.48137812026974647,0.1702752079219969,0.0,0.07289640032160949,0.0,-1.499936556776755,1.8268796411139971,0.0,0.0,0.60937570446631,-0.5579921445238906,0.04702619941996855,0.0,-0.8498150569751904,0.0,1.1655025204888267,-1.3417838969117166,0.0,-0.14727758409301295,1.3040076684760487,1.072068532104107,0.0,0.0,0.0,-0.14040448835876784,0.0,-0.37902618983196856,-0.5074755118148238,0.0,0.0,0.0,0.18304816268937563,0.0,0.6486367163517711,-0.5349675857562364,0.2226097908585516,-0.12154770452930297,-0.13196521903067104,0.9026834003674034,-0.761249270522462,-0.4107145604308773,0.0,-0.3871377299690466,-0.14248133827564646,-0.3662040962227032,-0.2824326201290679,0.46209812037329684,0.0,-0.08519791930009335,-0.15666787641524538,-1.4346883644013901,0.5013591322587582,0.9985774245179969,1.0451647386430498,0.0,1.5958305809273485,1.1945063128187035,1.0860321793404941,-0.2063464028020745,-1.1945063128187032,-1.1337324605540517,0.0,0.5705722538515059,0.9985774245179969,0.0,0.0,1.310608544241442,0.9378035722533453,-0.690687144794071,0.9814796597221468,2.0451882970272464,1.3862943611198906,0.0,1.4606755448912936,1.1851160204964712,0.09589402415059367,1.4255553730053518,1.561658726418817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.260700449648395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36000883330753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
